"","title","price","price_without_discount","options","free_delivery_description","user_rating","number_of_user_ratings","units_sold_description"
"38","BLU G63 | 2023 | 3-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 128/4GB | Dual 13MP Camera | US Version | US Warranty | Green","$89.99","$129.99",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","3.9 out of 5 stars","109 ","400+ bought in past month"
"39","Samsung Galaxy A25 5G A256E 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin Variant/US Compatible LTE) - Blue Black","$188.00","$247.97",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.0 out of 5 stars","293 ","500+ bought in past month"
"40","SAMSUNG Galaxy S24 FE AI Phone, 128GB Unlocked Android Smartphone, High-Res 50MP Camera, Long Battery Life, Brighter Display Screen, US Version, 2024, US 1 Yr Manufacturer Warranty, Graphite","$649.99",NA,"2 sizes","FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","5.0 out of 5 stars","1 ","50+ bought in past month"
"41","TracFone Moto g Pure (2021), 32GB, Blue - Prepaid Smartphone (Locked/Renewed)","$24.99",NA,NA,NA,"4.3 out of 5 stars","168 ","400+ bought in past month"
"42","TracFone | Samsung Galaxy A23 5G | Locked | 64GB | 5000mAh Battery | 50MP Main Camera | 6.5-in. FHD+ Display | Black","$199.99",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.2 out of 5 stars","20 ","50+ bought in past month"
"43","SAMSUNG Galaxy A05 (128GB, 4GB) 6.7"" Dual SIM Fully Unlocked Global 4G LTE A055M/DS (Black)","$113.99",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.0 out of 5 stars","120 ","500+ bought in past month"
"44","Motorola Moto G Stylus 5G | 2023 | Unlocked | Made for US 6/256GB | 50 MPCamera | Cosmic Black, 162.83x73.77x9.29","$259.99","$399.99",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.2 out of 5 stars","574 ","500+ bought in past month"
"45","SAMSUNG Galaxy Z Flip5 AI Phone, 512GB Unlocked Android Smartphone, Compact, Foldable Design, One-Hand Control, Best Selfies, Full Cover Screen, Hands-Free Use, US Version, 2023, Lavender","$874.99","$1,119.99","2 sizes","FREE delivery Wed, Oct 16 Or fastest delivery Oct 10 - 15","4.3 out of 5 stars","435 ",NA
"46","DOOGEE Blade 10 Ultra Rugged Smartphone, 20GB RAM+256GB ROM Rugged Phone Unlocked Android 14,6.56''90Hz Display,50MP Camera, IP68/IP69K Waterproof Phones, Face ID/NFC/GPS/OTG","$279.99",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Thu, Oct 10","5.0 out of 5 stars","13 ","50+ bought in past month"
"47","Google Pixel 9 - Unlocked Android Smartphone with Gemini, 24-Hour Battery, Advanced Camera, and 6.3"" Actua Display - Obsidian - 128 GB","$782.49",NA,"2 sizes","FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.4 out of 5 stars","33 ","300+ bought in past month"
